index,valor,array,modos
6,14.636382666084126,0.0992850222,14.636382666084126
7,17.70253021660191,0.200383909,17.70253021660191
8,27.72766764058884,0.121938626,27.72766764058884
9,42.28149629834103,0.105970788,42.28149629834103
10,44.71596406301512,0.0486562176,44.715964063015115
11,56.15918610128057,0.117476452,56.15918610128057
12,57.47885223958828,0.0674890858,57.47885223958828
13,67.31381694350142,0.0780412935,67.31381694350142
14,71.5448229985533,0.0876421181,71.5448229985533
15,78.6001590053584,0.0783670125,78.6001590053584
16,89.70792149498325,0.150170225,89.70792149498325
17,101.00131132701496,0.307058121,101.00131132701495
18,101.85124338511308,0.169607378,101.85124338511308
19,125.69513201069168,0.518841989,125.69513201069168
20,132.03414628034932,0.173260065,132.03414628034932
21,144.43539057307214,0.454171013,144.43539057307214
22,150.08160485321048,0.17070465,150.08160485321048
23,158.60947040872915,0.380989318,158.60947040872915
24,170.83543402388736,0.431847407,170.83543402388736
25,180.1256161038461,0.408546612,180.1256161038461
26,204.76919888829485,0.48454912,204.76919888829485
27,241.39025044650108,0.473348662,241.39025044650108
28,248.50829443914927,0.389942444,248.50829443914927
29,263.0101032223428,0.308183523,263.01010322234276
30,267.5258800746729,0.187145211,267.5258800746729
31,267.97373261200727,0.361000811,267.97373261200727
32,272.90897555571905,0.345894441,272.90897555571905
33,294.5749530887952,0.189825821,294.57495308879516
34,294.9131868625748,0.334565935,294.9131868625748
35,313.73887425008496,0.370996293,313.73887425008496
36,332.4885430699512,0.367248525,332.4885430699512
37,363.5681845191944,0.289850124,363.5681845191944
38,368.2366765988276,0.325687896,368.2366765988276
39,384.3437658881554,0.221814679,384.3437658881554
40,387.5036511155594,0.296659437,387.5036511155594
41,424.7843857726217,0.28177533,424.78438577262165
42,432.4450304712878,0.316880196,432.4450304712878
43,469.9531154242552,0.14422478,469.95311542425515
44,472.2164281667478,0.0926676051,472.2164281667478
45,495.1663050953362,0.570897055,495.1663050953362
46,503.7554397952662,0.629462183,503.7554397952662
47,518.1479327799356,0.219133437,518.1479327799356
48,520.4623415329925,0.193187071,520.4623415329925
49,520.4963161669683,0.0410450288,520.4963161669683
50,522.7697210799246,0.073637992,522.7697210799246
51,563.753964048668,0.101706606,563.753964048668
52,564.141852858068,0.0835852165,564.141852858068
53,567.7896284947016,0.144811376,567.7896284947016
54,568.591227307669,0.155412269,568.591227307669
55,624.5619224141786,0.27297066,624.5619224141786
56,631.8202484816461,0.302905829,631.8202484816461
57,645.1692827507296,0.18260448,645.1692827507296
58,646.6470940568045,0.18793907,646.6470940568045
59,658.9277448819937,0.0967715742,658.9277448819937
60,659.0064243899704,0.0930492856,659.0064243899704
61,693.193595364118,0.11664997,693.193595364118
62,694.907734100018,0.122520366,694.907734100018
63,759.0162487344231,0.0464189643,759.0162487344231
64,759.3416477790055,0.0570719232,759.3416477790055
65,766.1717451972057,0.0846081532,766.1717451972057
66,768.0472479723044,0.0977098087,768.0472479723044
67,788.9245974848325,0.0233355102,788.9245974848325
68,789.0952225353266,0.0221627898,789.0952225353266
69,799.86175934259,0.0760546329,799.86175934259
70,800.5969944946991,0.0837743907,800.5969944946991
71,837.9230957689824,0.242158622,837.9230957689824
72,839.7362332664059,0.241345214,839.7362332664059
73,856.0860157910477,0.102584239,856.0860157910477
74,856.4445823022043,0.100551442,856.4445823022043
75,867.2412951060115,0.0191482515,867.2412951060115
76,867.5330981992928,0.0198018563,867.5330981992928
77,904.850141313245,0.0145739352,904.850141313245
78,905.1307518250052,0.0144104635,905.1307518250053
79,911.9812516483768,0.146419371,911.9812516483767
80,915.3117273077996,0.137929312,915.3117273077996
81,930.427999096926,0.0037362614,930.4279990969259
82,930.44163114622,0.00373220803,930.4416311462201
83,952.0147592058744,0.0676390062,952.0147592058745
84,952.3403217296748,0.0675339232,952.3403217296747
85,984.291592666551,0.130399358,984.291592666551
86,987.2765287218052,0.134800953,987.2765287218052
87,994.1439545278424,0.00320736242,994.1439545278424
88,994.658229282412,0.0039332273,994.6582292824119
89,1000.5627749386894,0.000465997016,1000.5627749386894
90,1000.5805715146898,0.000521721509,1000.5805715146898
91,1016.0381972203442,0.000886196743,1016.0381972203442
92,1016.0858262499454,0.0010164119,1016.0858262499454
93,1028.8738514867073,0.376429339,1028.8738514867073
94,1031.8675420679494,0.385721252,1031.8675420679494
95,1083.04313211097,0.0355961308,1083.04313211097
96,1083.2682635500676,0.0396307135,1083.2682635500676
97,1110.1545408355985,0.0471776876,1110.1545408355985
98,1112.1272559126169,0.051722077,1112.1272559126169
99,1136.122805747993,0.0554849876,1136.122805747993
100,1136.462518510784,0.0554760999,1136.462518510784
101,1148.8160718081324,0.0182869908,1148.8160718081324
102,1149.4300432126145,0.0172290579,1149.4300432126145
103,1176.1880995238662,0.00552170044,1176.1880995238662
104,1176.8706827589265,0.00569524369,1176.8706827589265
105,1202.3309888638955,0.0481301125,1202.3309888638955
106,1205.3472601066665,0.0506896787,1205.3472601066665
107,1253.1768369486426,0.0234774924,1253.1768369486426
108,1255.3953845964509,0.0209138752,1255.3953845964509
109,1270.7476109134975,0.052007761,1270.7476109134975
110,1275.665474248225,0.0745978706,1275.6654742482253
111,1331.191746708856,0.292402611,1331.191746708856
112,1335.085283393826,0.281181601,1335.0852833938259
113,1338.124843671044,0.0155484866,1338.1248436710441
114,1338.2875556404356,0.018736115,1338.2875556404356
115,1359.740559031593,0.0624108092,1359.740559031593
116,1362.6309530278018,0.0727140575,1362.6309530278018
117,1396.0280963740886,0.121254273,1396.0280963740886
118,1404.4510195451633,0.167158025,1404.4510195451633
119,1404.618755409704,0.0731533522,1404.618755409704
120,1407.6106601878416,0.0141809204,1407.6106601878416
121,1416.5130279103344,0.0861672467,1416.5130279103344
122,1417.0396593492474,0.0889188165,1417.0396593492474
123,1481.210032731516,0.0470269698,1481.210032731516
124,1481.6961673094072,0.0538282402,1481.6961673094072
125,1493.2706188816408,0.0554194003,1493.2706188816408
126,1493.3371266899326,0.0619138331,1493.3371266899326
127,1511.459753777999,0.0759362658,1511.4597537779987
128,1514.9451069732506,0.0645574718,1514.9451069732506
129,1538.0856720502786,0.137238929,1538.0856720502786
130,1550.292896924803,0.140949249,1550.292896924803
131,1584.587042298952,0.0573392796,1584.587042298952
132,1585.5735447958416,0.0604426757,1585.5735447958416
133,1619.5283883871498,0.18198128,1619.5283883871498
134,1621.1080130720393,0.174587539,1621.1080130720393
135,1646.4034160156527,0.00554984274,1646.4034160156527
136,1648.0132224704205,0.00748939024,1648.0132224704205
137,1660.3536045584997,0.0434429854,1660.3536045584997
138,1661.534366453522,0.0429739534,1661.534366453522
139,1666.8009224481236,0.0752154544,1666.8009224481236
140,1668.2109732925678,0.111467288,1668.2109732925678
141,1682.0310965981223,0.24029959,1682.0310965981223
142,1682.5220059425874,0.269874951,1682.5220059425874
143,3130.0717454980454,4.40925794e-05,3130.0717454980454
144,3130.112152928954,4.19946339e-05,3130.112152928954
145,3197.561577103525,2.41985092e-06,3197.561577103525
146,3197.640990773936,3.01719571e-06,3197.6409907739358
147,3204.329428414455,1.53718575e-06,3204.329428414455
148,3204.3733851859806,2.11786557e-06,3204.3733851859806
149,3217.190785622932,6.09982132e-06,3217.1907856229313
150,3217.208397184056,6.2217519e-06,3217.208397184056
151,3217.460441743436,1.97867434e-06,3217.4604417434357
152,3217.473580448239,2.01131402e-06,3217.473580448239
153,3226.0778490712946,5.33294085e-06,3226.0778490712946
154,3226.1052269928264,5.32937062e-06,3226.1052269928264
155,3231.0308892954413,4.93551987e-06,3231.0308892954413
156,3231.074671840026,5.08083254e-06,3231.074671840026
157,3236.9050723647038,1.95352869e-06,3236.9050723647033
158,3236.9232101069383,1.95530946e-06,3236.9232101069383
