,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158
C1,0.0,0.0,0.0,0.0,0.0,0.0,-0.052786434935,0.044727801557,-0.0092054629358,0.025193456453,0.039668780559,0.057483826346,0.052425679929,0.019654136127,-0.025616633875,0.10102064509,0.043525043331,-0.058394910905,-0.036477311656,-0.033523333572,-0.011890129855,-0.077618453223,-7.3081548678e-05,0.1181915341,-0.030898890543,-0.14916628031,0.090424238543,0.019761711583,0.022268185427,-0.0062503850246,-0.013644708929,-0.045325862839,0.048826594072,-0.072405282863,0.046158274508,-0.021214934684,-0.051841369048,0.011880162032,-0.041554554295,-0.034620089164,0.10504348103,0.020587466105,0.016610500954,-0.0036267572841,-0.010803042655,0.012591725374,-0.025661058127,-0.036611602263,0.027684319332,-0.02014339603,-0.0086104984375,0.014237761701,-0.00086593332611,-0.028098506311,-0.013115968194,0.11957743257,-0.10566908018,0.045027912322,-0.084377977173,-0.1342076616,0.13508819553,0.040634274239,0.039474418323,-0.0021398586906,-0.0066921187677,-0.026211162713,-0.020899209621,-0.013177325034,-0.012003346693,-0.010824333254,-0.01142334033,-0.099399067211,-0.10246459041,-0.03652892374,-0.02909446364,-0.0050288161982,0.0052731261579,0.0061909988745,0.0077620980847,-0.025760606688,-0.068429699598,0.080005034761,0.11198480862,-0.0074837536252,-0.0059088134304,0.040619795272,-0.035717612197,-0.0083236717558,-0.031109626398,1.6814485096e-05,0.0011146174862,0.00066098353837,0.015878466287,0.052523761187,0.048422871595,-0.031380016216,-0.033741878384,-0.012991419464,-0.012988919883,-0.029274950111,-0.027769992976,0.0045999581788,0.004168718272,0.016757983301,0.016778558362,0.012317424106,-0.01186724245,0.022014149809,0.023490890768,0.01008208005,-0.013542434982,-0.033997440991,0.09839403953,-0.045104094007,-0.062220084899,-0.08975219896,-0.017022860086,-0.015131152239,0.040296437318,0.042542246669,-0.0063191841243,-0.044273261261,-0.053431934695,0.068543612027,-0.068902957824,0.067453531856,-0.069080112904,-0.027988758779,0.032337647406,0.059048248468,-0.056699438033,0.051080338045,-0.045887365678,-0.1070023386,0.11263179445,0.06278747634,-0.056550999234,-0.037098986186,0.016714356641,-0.072057577234,0.10095061161,0.10365206003,-0.072727615359,0.0002290610719,-0.00026832477941,0.0052301416669,-0.020374626621,0.044430726735,-0.027809918623,4.9442411537e-05,0.00023584553456,-0.011605909127,0.0065201102934,0.00011865566134,5.505182893e-05,-0.002823056425,0.01990621704,-1.1134316861e-05,3.0549316075e-05
C1,0.0,0.0,0.0,0.0,0.0,0.0,0.09810635616,-0.083153914595,-0.017763452114,-0.074918956447,-0.067667976006,-0.10640167655,-0.13129194607,-0.063588342012,-0.011722322709,-0.074618389372,-0.030306893654,0.13516434206,0.05875719165,0.0069645515042,-0.019899879351,0.068216235241,-0.1715937696,0.032714223413,0.11816331148,-0.13670088794,0.085407020799,-0.021898219157,-0.089239807836,-0.086771199575,0.00039510350908,-0.011971772039,-0.041209557663,0.084545845045,-0.00161005473,-0.007848069408,-0.050222578686,-0.0040602481324,0.074574935194,0.06442088189,0.055658070685,-0.045095352327,-0.04588777256,0.00031782996475,0.0023461130698,-0.016915963883,0.07636091767,0.07973338253,-0.05551449863,0.017688078024,0.011672920321,0.02359912023,0.06026497289,-0.026687225008,-0.057573901868,0.04486263676,-0.047350251936,0.028170867951,-0.014143504618,-0.0021183187883,-0.0016431855053,-0.045865494911,-0.041887060596,0.0081299477912,0.0076763732732,0.051140303691,0.046273425314,0.022202281802,0.029889692605,0.017259224165,0.026526727428,0.0071287760799,0.010499859766,0.0066147827687,0.002475934313,0.0042711747429,-0.0023856826242,-0.023141515775,-0.022287096601,0.03145518206,0.037682349702,0.022657934277,0.0095216455727,0.00098198875193,1.7682866426e-05,-0.076834422714,0.077709521452,-0.023451143954,0.018080142628,0.00022893397179,-0.0013323539145,-0.0015896816949,-0.032689227494,-0.010772070639,-0.0038447837899,0.04881582479,0.048894860998,0.0095324123646,0.0087808599145,0.031420806603,0.031850001123,-0.005660236834,-0.0045656985571,0.011973155809,0.012498827208,-0.0005289683627,0.005407485148,0.00052589652977,0.0018684320535,0.00052195940059,-0.0020735170532,-0.083098333539,0.11461218434,-0.0049324714538,-0.029956248272,-0.050209319511,-0.0081861760879,-0.0084277072872,0.014573392616,0.016866233137,-0.0043341241031,-0.012406268852,-0.015177291666,0.017878491214,-0.018500675012,0.051294638103,-0.051609119165,-0.0807919258,0.084032928515,0.069148565531,-0.062865256396,0.037787251037,-0.033720555056,-0.050208772016,0.049844898507,-0.00086677119782,0.0052824184222,0.012005683773,-0.0082398625136,-0.072718001021,0.12608347108,0.13911773272,-0.10268692373,-7.9337799123e-05,1.3841923024e-05,-0.001227108288,0.00481660901,-0.010619772547,0.0066094338601,-1.5327281622e-05,-6.6048573285e-05,0.0032934432118,-0.0018413960467,-1.047509825e-05,-1.6859153717e-05,0.00099207783113,-0.0071232566815,-9.1629944251e-06,-1.2686132014e-05
C1,0.0,0.0,0.0,0.0,0.0,0.0,0.0091158942986,-0.064279640354,-0.068140575676,0.021328122159,0.071869813284,0.1234529097,0.10119801989,-0.011165643425,-0.016624278111,-0.092163727702,-0.08214858638,-0.056118722109,-0.070096081284,-0.098184999494,-0.036428250092,-0.13536826983,-0.004514479616,0.090403392845,-0.036384379337,-0.075162336241,0.056417557926,0.013633297481,0.02160261968,0.058361479459,-0.038977293458,0.035509321548,0.088490245873,-0.025316956727,-0.049433591211,0.046596396299,0.017341111414,0.021415321922,-0.06026222002,-0.045529248442,-0.0051439076004,0.028533331986,0.035025447263,0.0029028145198,-0.004821044556,0.07281639464,-0.0019404094173,-0.038255565333,0.070766080007,0.0056184996165,0.022878142305,0.067122892213,0.047589188129,-0.050214567425,-0.032085780666,-0.016648904142,0.00079243198424,0.008124883111,0.0322678543,0.086228822878,-0.091645873316,-0.084907841364,-0.08440787768,-0.0059739009991,-0.0072693271737,-0.0385008302,-0.034689100784,-0.016488972048,-0.024734080254,-0.011517680509,-0.020999061246,0.082974769955,0.077580223074,0.030383963573,0.025545263956,-0.0012087816156,-0.0020928868056,0.020207831723,0.019529635881,-0.014106241967,0.0070065311767,-0.081342886432,-0.09107402834,0.0043618063808,0.003989408913,0.055277262631,-0.05847910298,0.026983913357,0.0011817059659,-0.00017787483764,0.00065067661166,0.0011495756215,0.02412766938,-0.044880143715,-0.039228332161,0.085665168137,0.087829587498,0.022205458017,0.01895575153,0.060841991798,0.060467088688,-0.01039492409,-0.0089971447551,0.0055076618363,0.0061684515146,-0.0084193470382,0.015290937492,-0.01359959241,-0.012878538521,-0.0060327926546,0.005861501829,-0.090016511651,0.089972389825,0.022733990419,0.00029096833616,-0.0091204967213,-0.00080495983822,-0.0018037716114,-0.0073145800014,-0.0044064479409,-0.0014423577557,0.012147485796,0.014316897414,-0.020417632857,0.019976986767,0.024973539869,-0.024259349489,-0.089823896842,0.091987647107,0.054543645121,-0.047258909973,0.016605126641,-0.016157817793,0.0030713755954,-0.005700506922,-0.042719876985,0.043375667248,0.039480393653,-0.022628159681,-0.050547515587,0.10298853524,0.118771296,-0.090067475668,-0.00025121183498,0.00019723170021,-0.0050030113402,0.01954641209,-0.042817375141,0.026750170233,-5.4872870642e-05,-0.00023767120523,0.011876753256,-0.0066553792773,-9.0069731995e-05,-5.7650935893e-05,0.0031431326796,-0.02234099807,-5.3166829488e-06,-3.616441262e-05
H1,0.0,0.0,0.0,0.0,0.0,0.0,-0.034659336239,0.026487144653,0.010061016619,0.025988715173,0.059106421225,0.10884218243,0.098533857037,0.017894521833,-0.022875596009,0.076398444333,-0.0015692257039,-0.085681537853,-0.064526517089,-0.06074611114,-0.019201996542,-0.12053676606,-0.013290625566,0.18604286491,-0.039212043964,-0.20711922769,0.10318685846,0.053049143952,0.042380642025,-0.0098539250634,-0.023567258068,-0.061728216687,0.094989548959,-0.12785088648,0.094197072977,-0.056670079737,-0.051065992386,0.0050022043676,-0.12338352992,-0.095176485585,0.14489776499,0.072273077894,0.094034642541,-0.0089055879043,-0.00028540032075,0.032432508985,-0.11571576813,-0.13355799979,0.098799769428,-0.076371203189,-0.045103213437,0.033462793539,-0.026352287745,-0.02664600554,0.017507783526,0.030016249936,-0.017422320967,0.0023106020778,-0.026609617869,-0.099486240757,0.092971138709,0.059310084889,0.070780473382,-0.052652795502,-0.050663105528,0.030611943819,0.040329177124,-0.10877280976,-0.0944095975,-0.092178116099,-0.096705512952,-0.15362520184,-0.16072649024,-0.050395158257,-0.045878719418,0.017227142139,-0.010442030397,-0.079087362563,-0.073647101794,0.051712905641,0.0059345885434,0.1999502853,0.21543340795,-0.0097304446724,-0.0094682673195,-0.19243666842,0.20290409235,-0.097443146414,0.0077667441177,0.00097995969218,-0.0024962844492,-0.0052134712663,-0.10349383099,-0.015438544561,-0.0077156834502,0.15275904721,0.1540195759,0.0089410866036,0.0039864853226,0.049708975317,0.051640686991,-0.010726226577,-0.0091137841649,0.091491678508,0.093827451107,-0.0036837251609,0.004783719757,0.0094240201108,0.016190428201,0.043976820364,-0.051227460514,0.32753763877,0.026649738364,-0.38455623459,-0.35881329052,-0.12412248614,-0.0011668596222,-0.004585811963,0.060760491917,0.047138659214,0.0037545286245,-0.063767927934,-0.06706726147,-0.030338903129,0.040031117358,-0.18372865179,0.19124618152,0.2828610713,-0.28586162384,-0.15788672645,0.16023883377,-0.064687094721,0.070888114119,0.050283966559,-0.054520315733,0.059210739968,-0.044570722849,-0.050923653155,0.034993242528,0.090255772853,-0.16174301804,-0.19107175916,0.14325852043,-0.0028694333289,0.0021619416399,-0.061023401923,0.23830247955,-0.5121294299,0.3202040604,-0.00056970853006,-0.0028349520037,0.13387433348,-0.075052777013,-0.0015554648447,-0.00071612099285,0.032494163742,-0.22994657912,4.3822295012e-05,-0.00039801064461
H1,0.0,0.0,0.0,0.0,0.0,0.0,0.093448943229,-0.082821558727,-0.076686977831,-0.085215414109,-0.099707622334,-0.20174905982,-0.21148413909,-0.081117607812,-0.0076075314235,-0.1344508301,-0.070275321323,0.20920589219,0.098141929309,0.033509761421,-0.033719820127,0.10780301813,-0.25197795621,0.066133759488,0.17694266789,-0.19677008227,0.094675480794,-0.0080864163106,-0.13705826751,-0.16050127035,-0.00055327615181,-0.053208713081,-0.096410010629,0.13861641234,0.059735614518,-0.071955588334,-0.083673772876,-0.039017209828,0.21936375944,0.20133410825,0.090442974969,-0.17012332674,-0.19420161618,0.039775540267,0.0011988231644,-0.16490396248,0.16802804918,0.25611294267,-0.2451012352,0.027393413985,-0.036935088675,-0.025856130566,0.088108370997,0.023380863554,-0.064749767119,-0.063582418624,0.04961163553,-0.0097969285047,0.037895473277,0.046348444414,-0.033078029264,-0.020068169798,-0.030419475784,0.11059034868,0.10170663293,-0.066689124421,-0.080234880988,0.22027323693,0.20158073512,0.18149131008,0.20416325846,-0.037728543778,-0.032089164544,-0.020231565204,-0.00056996327187,-0.044833653916,0.038328539867,0.14199514349,0.1429128322,-0.14694010994,-0.20796336273,-0.065002565979,0.003639013889,-0.0058713630414,-0.0035927232516,0.41478463176,-0.41189189048,0.094331130472,-0.11313651855,-0.00095703322272,0.0067148262895,0.0099321001114,0.21678790342,-0.076949300993,-0.066552754842,0.25541593935,0.25998497675,0.039917605545,0.022159919211,0.11964916064,0.11933808799,-0.020982914168,-0.021115844339,0.094084580229,0.09590092071,-0.015006127518,0.028080766137,-0.014467489041,-0.0097924475047,0.034187334417,-0.042958376395,0.28874505693,0.051160196658,-0.36706825702,-0.3516550757,-0.087544207768,0.0012625646327,0.0044431822546,0.031769048818,0.022102793984,0.0061534157833,-0.029484510899,-0.026557934663,-0.096065312101,0.1069448586,-0.22425396898,0.22882942132,0.24373235469,-0.24731623557,-0.15947990542,0.16617091398,-0.09135965661,0.085412825102,0.12767680364,-0.12520355378,-0.016720688372,0.02010129738,-0.0022596296527,0.0030209291235,0.092933605931,-0.14462347295,-0.16129076385,0.11814177097,0.00071230673771,-0.00085852837327,0.014204825843,-0.055621607765,0.11994893718,-0.074943586145,9.8520902284e-05,0.00067930263956,-0.032043457112,0.018011206808,0.00034688383488,0.00017505096309,-0.008063778303,0.057206308893,1.9481002329e-07,9.5413564761e-05
H1,0.0,0.0,0.0,0.0,0.0,0.0,0.029197481794,-0.083394589866,-0.033404652751,0.024597912411,0.10043961601,0.20054849631,0.16965204714,-0.0086263863146,-0.014734433992,-0.10274855609,-0.11916393677,-0.10362332572,-0.10844379761,-0.13230091211,-0.039754015438,-0.18939777893,0.0027794006874,0.15256773332,-0.060527310028,-0.11939670815,0.066400227883,0.045040116012,0.054561202634,0.073560294763,-0.047610239182,0.026837999802,0.14900593576,-0.097819081088,-0.013732063796,0.025500908776,0.025356667355,0.024064635272,-0.18234615955,-0.14225414575,0.027522022964,0.11373074948,0.15231605668,-0.011383745924,0.0074221917548,0.12906009552,-0.12000078119,-0.18337861462,0.19170125243,-0.056095964095,-0.0037304972922,0.099853003965,0.014173880295,-0.05883828836,0.0038744117534,-0.087402833661,0.072958506601,-0.028845507403,0.082398721342,0.11404115992,-0.13161220817,-0.072235901973,-0.05475700856,-0.084240781339,-0.0761410456,0.049975172545,0.060526755254,-0.16467461191,-0.15374462305,-0.13679222898,-0.15416349291,0.042146202955,0.032096038621,0.024436692854,0.010246461092,0.03462329516,-0.028487143556,-0.10969795269,-0.10572205489,0.11182957246,0.14867631133,0.058835115466,0.010459335955,0.0042778041926,0.001504287878,-0.30968323198,0.31125938549,-0.092945744154,0.076137844105,0.0010759075696,-0.0051057095146,-0.0078009329485,-0.16213998205,-0.092436026538,-0.074826724198,0.23828849178,0.24319768515,0.040571706236,0.035715539095,0.12868311443,0.12898137239,-0.023797570513,-0.019958635219,0.063264321349,0.066228849031,-0.022984565038,0.029907302932,-0.02710943555,-0.021631121985,0.01891510523,-0.021569870223,0.17838614664,0.04856738788,-0.23854107541,-0.23072245638,-0.034550887716,0.013305264878,0.0071300791015,0.0058230329794,-0.0051519814784,0.0070874189534,0.0021006130115,0.0097239511742,-0.11065355737,0.11775078117,-0.17781591242,0.18703201318,0.14356140672,-0.14576384256,-0.11166788445,0.11968281996,-0.073238079413,0.077004743456,0.13012627986,-0.14514026323,-0.052922257061,0.062904290597,0.037757919712,-0.011370188462,0.071116721385,-0.088365948351,-0.095898888806,0.067266119733,0.00285709036,-0.0025496813609,0.058144972399,-0.22719568284,0.48883512717,-0.30558323732,0.00050516829621,0.0027293319512,-0.12873069584,0.072176984067,0.0014162190871,0.00069009223933,-0.031606345992,0.22398396171,-3.0140327831e-05,0.0004021313926
C2,0.0,0.0,0.0,0.0,0.0,0.0,-0.089520143248,0.090333761063,-0.043655382678,0.058452224149,0.051118214416,0.033010683973,0.047615505736,0.064914220508,-0.044171850721,0.16621403659,0.11841659398,-0.019110569507,-0.016414471823,-0.016691912256,0.038459144828,-0.00095081430471,0.014314455903,0.0088721374431,-0.010099906359,-0.047852259533,0.066090521765,-0.068800056328,-0.0639395609,-0.021749825416,-0.031562803819,-0.0058809697498,-0.011301410728,0.047960710139,-0.066732502858,0.062056835253,-0.023081695105,0.036943297833,0.012333330415,0.0077560749164,0.025719000644,0.018550085659,0.010879251209,-0.01397572567,-0.00070951385792,0.044553489981,0.11062209319,0.072883999424,-0.014504240702,0.049511304812,0.055502747393,0.059894908135,0.092126308098,-0.066681674577,-0.089695962711,0.11481871401,-0.12454306413,0.0666384102,-0.044368315296,0.0022506246928,-0.0071192092811,-0.10183013989,-0.099952140019,0.014584384032,0.010919178675,0.00087210090923,-0.0017388590528,0.030632575113,0.028266396379,0.027045180971,0.029818952853,0.057518873997,0.057528225963,0.021489601039,0.016216728354,-0.0046030961941,0.0025424000257,0.017312588796,0.017609068586,-0.0040196826903,0.0035415116443,-0.036006780991,-0.041324650416,0.0020414174164,0.0010675847206,-0.018329720433,0.018932010045,-0.0056354862202,0.0074262744203,9.1542871205e-05,-0.00035757236434,-0.001688995548,-0.03091631505,-0.23359081523,-0.24198042001,-0.10105717894,-0.097510562266,-0.0052357247253,-0.0029602051481,0.003463680932,0.0033189508925,-0.00037455104941,-0.00088440906021,0.0049829161657,0.0048780593853,-0.010789332149,0.0097671419265,-0.0071637384771,-0.0070686690155,-0.0023800284563,0.002327543923,-0.053135591988,0.079433453547,-0.010314957244,-0.028336947864,-0.027490497214,-0.0058402622843,-0.0045557778489,0.010814662661,0.0079152627542,-0.00017393125164,-0.008983261832,-0.007824442409,-0.02067123047,0.022022889766,-0.032406691809,0.031945937568,0.018297728038,-0.023015518718,-0.037231077854,0.035181000388,-0.044246224451,0.037972032422,0.117509069,-0.1221129304,-0.10421957199,0.094742097317,0.070689424568,-0.036244406157,0.03571613402,-0.024739208361,-0.01240239179,0.0012696738769,-4.849900118e-05,9.2974434734e-05,-0.0062401188657,0.024040337509,-0.017189012409,0.010806742656,-4.7170448162e-06,-0.00021308791663,-0.016289938289,0.0090732068205,-0.0005868247619,0.00037284325716,-0.0092506921555,0.066362831142,7.7642998664e-05,6.7309776035e-05
C2,0.0,0.0,0.0,0.0,0.0,0.0,0.1252913428,-0.12119770583,0.081886257685,-0.1328343121,-0.10020945388,-0.075304552786,-0.13830402782,-0.12900555073,0.013398239981,-0.061386059648,-0.0051750571194,0.030722710308,0.04244003444,0.00082044245251,-0.089476432819,-0.043479928295,-0.083192359823,0.040850024747,0.038305970158,-0.14796397587,0.11585058671,0.05851429569,0.063207029115,0.069995781416,0.029764955282,0.061449785945,0.085681367693,-0.027967139765,-0.036959722799,0.030659701566,-0.029437057093,0.0020695393869,-0.019757730737,-0.021582928352,0.026017451475,-0.038044493753,-0.032359911954,0.015450142585,-0.02401532219,0.1116024415,-0.039867874174,-0.088673108475,0.12167819622,-0.0049686734892,0.02406977374,0.08804906193,0.049193639217,-0.074152241213,-0.03927043134,0.031745435258,-0.044299166906,0.029370903973,0.0031287697655,0.041043192007,-0.04887072912,-0.080931401327,-0.079404016156,-0.027840763202,-0.029617909849,-0.0029192369928,0.0047556806112,-0.065351353541,-0.062111148393,-0.053969250203,-0.062708637881,0.039047050979,0.030676069915,0.0157632888,0.010783205671,0.010926839217,-0.012607634301,-0.030369328696,-0.031418994269,0.021316350999,0.032946492803,0.0044089561832,-0.0093280375454,0.00052508203569,0.0011224869842,0.038310030939,-0.03662223337,0.0030824778453,-0.011498996922,0.00047110539663,0.00029057055302,0.0027221418232,0.067209674654,-0.13982938131,-0.14533231701,-0.038069586313,-0.035728476001,-0.0089998913837,-0.011298462893,-0.028714007475,-0.028628755239,0.0037695229774,0.002695438616,-0.021390446613,-0.021146370068,-0.00047738280307,-0.00048356774017,-0.00070397570858,-0.00019544832041,0.00018688337756,-0.0007094214055,0.040871188981,-0.061846431149,0.0089603952594,0.023550083824,0.012422834595,0.00068639746943,-0.00065970691597,0.0046260393536,0.0050365580409,-0.0002638800755,-0.014498144414,-0.018315783691,0.058121316619,-0.059406272765,0.021391520389,-0.021822403108,0.070651187904,-0.070110399042,-0.031739648646,0.025303136064,0.00025177136497,0.00089331911993,-0.029313858264,0.031829338311,0.046115993344,-0.046751368328,-0.039585110977,0.021682874068,0.039436605759,-0.083619152851,-0.097147241791,0.073260373458,-7.2662698754e-06,5.1979566463e-05,-0.0035865710586,0.01379469357,-0.0075861038792,0.004800947066,5.626015898e-06,-0.00010146853244,-0.010648279817,0.0059338755228,-0.00032332672845,0.00022046960927,-0.0051396827298,0.036923020345,4.4863320645e-05,4.0472103862e-05
C2,0.0,0.0,0.0,0.0,0.0,0.0,-0.0067035415709,-0.041286066446,-0.14557003157,0.063793984794,0.097005428778,0.10247031799,0.10810834963,0.034923783012,-0.034171635996,-0.11816613427,-0.1202972697,0.02562795145,-0.061759978934,-0.099784252104,0.010066469345,-0.060777169098,-0.088389172946,0.11288789403,0.030267655955,-0.10051290851,0.042309696429,-0.033945510197,-0.092947682415,-0.073769878891,-0.067517212893,-0.029870477186,0.0035529392013,0.050055831178,0.0047748805965,-0.004564403246,-0.0030846803175,0.0077257480996,0.0069420758174,0.020225435469,0.041972292613,0.018401371266,0.027322102932,-0.0034958913274,0.018052418687,-0.038312225792,0.069750865275,0.084295314401,-0.068691862384,0.0029248752737,-0.0054743884929,0.018194894854,0.054278023953,-0.010421970593,-0.040262906617,-0.036651368142,0.027062257039,-0.0023009027236,0.035491444971,0.0529177163,-0.05616698497,-0.044528774304,-0.0431440064,0.021288627916,0.020503375748,0.0024166783511,-0.003498278245,0.048574818333,0.045633500583,0.040791805981,0.047041377821,0.0084935299019,0.013155100138,0.0045209511659,0.0035123808778,-0.0080837624406,0.0077561576394,0.024491199272,0.023789247944,-0.015440227924,-0.022228111486,-0.0054804505029,0.0032047097443,-0.00044737003851,-0.0012294155478,-0.026726183239,0.028995645817,-0.01559605385,-0.0033507695564,-0.00010001062226,-2.4669875696e-05,-0.0024380932199,-0.049233888966,-0.038324881946,-0.039387906683,0.014948589505,0.015946291754,-0.0087457213623,-0.012677339553,-0.04025885468,-0.039984735844,0.0052384401311,0.004181434885,-0.031842213884,-0.031397513857,0.0062076600035,-0.0070987564409,0.0037951517029,0.0043097993405,0.0018141738248,-0.0024323906917,0.089398784598,-0.13446047753,0.018588066139,0.049952931626,0.034691340591,0.0048191122579,0.0019789834877,-0.00074568778914,0.0015371501249,-0.00017968265844,-0.01353823048,-0.01935407157,0.091248397656,-0.09407020227,0.049904487746,-0.050148660134,0.082822482418,-0.078907840892,-0.018348306895,0.011127428047,0.02905538625,-0.023514282366,-0.11586885925,0.12208943544,0.12983038499,-0.12448451858,-0.0992363376,0.052721570892,0.029837539012,-0.095895852569,-0.12235040235,0.097484164606,2.2362489398e-05,1.4396468841e-05,-0.0007787594538,0.0029614881466,0.00096298951705,-0.00056384470453,1.2387261006e-05,1.0749305889e-06,-0.0037459022562,0.0020929822649,-5.1991336608e-05,5.3542476552e-05,-0.00090756742192,0.0065844430294,9.9374140858e-06,8.3316434913e-06
H2,0.0,0.0,0.0,0.0,0.0,0.0,-0.099796472681,0.10754718319,-0.051051529379,0.08619641795,0.080652730136,0.068419893707,0.092429404037,0.10008679031,-0.057061172551,0.19537440283,0.13272544024,-0.01968611189,-0.033353643906,-0.032545000844,0.075901135273,0.018530226484,0.02169317153,-0.010048338112,-0.0073204320162,-0.0079124442692,0.044857256581,-0.12132608272,-0.12995437319,-0.060239854116,-0.05886349519,-0.013720232512,-0.046624096081,0.10058682843,-0.093932929743,0.081940599194,-0.0062109546594,0.047949481368,0.010797498113,0.0097949648439,0.00414406952,0.052103534217,0.05362935347,-0.027304469429,0.01653938919,0.04303945419,0.1333956946,0.090168990638,-0.022686152041,0.054076271927,0.062753286724,0.067211323608,0.097515219989,-0.059315187889,-0.086165896405,0.046359462969,-0.058973070432,0.036554022567,0.0084193220236,0.070137373426,-0.082298865081,-0.10723602975,-0.094811110784,-0.049406688196,-0.047839962143,0.1696855488,0.17040165031,-0.094348668242,-0.059656957514,-0.079708449127,-0.075561441773,0.071212090415,0.06093486092,0.025904135161,0.017590845262,0.030689427448,-0.032389768707,-0.10201964609,-0.10391126182,0.083608894495,0.12702322506,0.011918172784,-0.04009480788,0.0035796041075,0.0050841316257,0.077559240222,-0.080090583161,0.032381528922,0.0040120316662,0.00088051284621,-0.00040861339702,0.0078632304553,0.17824346498,-0.26056457567,-0.27209168774,-0.14995082517,-0.14503502799,0.021142610878,0.030322900356,0.13326234601,0.1314242299,-0.019008508267,-0.016081451178,0.13922364014,0.13841880906,-0.023448417023,0.030184872717,-0.0021331678659,0.0004829414498,0.0081264110641,-0.011058082244,0.03451120893,-0.062747515315,0.019692970487,0.035633418169,-0.028859112974,-0.0091380538914,-0.013161529381,0.035018438569,0.038613951001,-0.0082235482963,-0.058184673216,-0.072720339733,0.15247654788,-0.1545427291,0.084677921303,-0.087128536501,0.10654982308,-0.10768452704,-0.046850254674,0.033519834342,-0.010595129529,0.010280712729,0.010680895167,-0.008837317306,-0.0039944690203,-0.0053574785168,-0.0087604293006,0.0061390421355,0.070971758263,-0.12124500826,-0.12797359966,0.089434362338,0.00055298784413,-0.0012167972422,0.076456391333,-0.29449762748,0.19299055876,-0.12153317557,-2.3763446451e-05,0.002332771316,0.20007601056,-0.11148302585,0.006640081575,-0.0042736423783,0.1030354484,-0.73969843508,-0.00084426322892,-0.00077249467538
