index,valor,array
6,16.76944242529263,0.0695477853
7,24.78758591015503,0.172795006
8,38.39067378710515,0.116667571
9,50.330764336007,0.0277228109
10,51.14670984682383,0.0171369318
11,59.57470550694721,0.0578692901
12,63.50407950825625,0.0303549371
13,72.7573582557379,0.0664626851
14,78.73148869019035,0.043613089
15,86.5279469843146,0.038735826
16,103.9877815088554,0.113066625
17,126.67775950313128,0.317540272
18,143.5550137076001,0.0731032092
19,145.56938970690936,0.0939833084
20,155.26407186028513,0.173068544
21,185.69658006840902,0.198165192
22,191.20213544249683,0.25904974
23,207.96132848399523,0.289050437
24,217.81834532199508,0.436885025
25,254.9142149261703,0.221677138
26,266.03862014891257,0.0762611115
27,271.6055866079286,0.149744081
28,286.30615312407593,0.258772801
29,291.6753293991202,0.272495609
30,313.7291662425876,0.359217619
31,328.89282708065366,0.497351531
32,334.98196757181165,0.335676289
33,342.00441935142777,0.258432158
34,354.951400888849,0.311329542
35,364.5837649388119,0.30359738
36,390.3752413940599,0.354482106
37,401.6365386887312,0.280702724
38,434.93588569407547,0.20589254
39,437.7563163856101,0.152198739
40,442.6689477948869,0.615413736
41,462.41379205618495,0.32931784
42,476.56113452484334,0.392717794
43,513.7030576490891,0.324721671
44,516.1092873823638,0.297482019
45,533.3901788198973,0.330296058
46,533.8259951733819,0.317514394
47,537.8914468869627,0.0704286122
48,539.9845861804383,0.159707247
49,545.3385512653554,0.217661139
50,546.2871779904619,0.300407941
51,582.2669494632406,0.328307065
52,585.9893499958798,0.340163398
53,590.6149025081808,0.333511439
54,591.5483331164089,0.357008013
55,651.1477325669225,0.337199685
56,653.6451401062557,0.15701537
57,654.9326658099212,0.142484037
58,656.2601752631456,0.296627644
59,672.921750722161,0.299615746
60,673.4636617299483,0.265147922
61,699.8587443429727,0.14153785
62,700.5112390207746,0.147911132
63,757.8808962843729,0.0279063824
64,758.3643386588241,0.029687037
65,769.1499114059474,0.129550511
66,772.8843546457831,0.112997796
67,785.6874483454151,0.0777298091
68,786.5439559803465,0.0795386813
69,793.4327098380744,0.050658215
70,795.3387034923578,0.0942886177
71,846.1800365146211,0.238446688
72,848.4416245757718,0.242127024
73,856.8432818038104,0.0978855574
74,857.0399731838162,0.105212494
75,860.8620986704931,0.0170607089
76,861.5183069230947,0.0188182621
77,884.4505060617489,0.0570628045
78,884.7890867183587,0.0548771108
79,913.1661739300961,0.043848943
80,913.2383371351757,0.0680292367
81,915.7376357028825,0.114964674
82,916.9612014769691,0.134271606
83,930.8409474068383,0.00992365305
84,930.9031226832349,0.0104945744
85,985.1061564569649,0.0103244888
86,985.7617206259939,0.00956807868
87,988.5862675594678,0.149198753
88,991.2670740542408,0.153176145
89,997.8334259060866,0.000267148009
90,997.8466711619049,0.000420057718
91,1006.8914463027726,0.000682709378
92,1006.9077871744329,0.000696376767
93,1043.6410994653154,0.406210527
94,1046.8138428346615,0.404808479
95,1082.3800741169866,0.0446162017
96,1083.1193197995053,0.0528906255
97,1109.2423160221638,0.0562760761
98,1111.0918204954507,0.0631903873
99,1138.729649999458,0.0590087581
100,1139.3507480117778,0.0578946481
101,1149.7396604799903,0.0191549011
102,1149.9104098164337,0.0188449407
103,1177.0577984548847,0.00790770691
104,1177.3434749407313,0.00767903729
105,1207.108079483173,0.0598304517
106,1208.6389070986565,0.0629270198
107,1250.0354158115929,0.0394498327
108,1250.9098029588226,0.0346264046
109,1271.8997280892793,0.0633795718
110,1274.0107842000386,0.0763061258
111,1328.8667552768907,0.0730533018
112,1329.0236091253873,0.209129868
113,1331.2080522613899,0.107608366
114,1333.1540984540597,0.235701653
115,1369.8377080179635,0.0956018385
116,1369.846585704748,0.0947257894
117,1399.6171535481185,0.0523758113
118,1404.23079038399,0.145051831
119,1405.5039041971877,0.141022757
120,1407.5319738266735,0.0381003584
121,1419.627046073236,0.0679769469
122,1419.6512890920253,0.0648762877
123,1484.7387307398667,0.0507154902
124,1485.3257796225912,0.0532985115
125,1493.6264810456944,0.070185362
126,1494.359215309445,0.0696347512
127,1513.1022564042137,0.0634303461
128,1516.298093826296,0.0641982552
129,1550.7795217217085,0.149420884
130,1555.434029868426,0.149796567
131,1581.9662627738253,0.104351834
132,1583.1098970698083,0.0943976588
133,1609.6203998128415,0.195603353
134,1613.8660582880382,0.213444095
135,1646.4984152499467,0.161832758
136,1648.0199520848955,0.0918330921
137,1650.9276138441123,0.107678878
138,1650.952481321892,0.0557521267
139,1668.311152448153,0.0689874285
140,1668.9268560799535,0.0909900509
141,1670.574472006943,0.056092517
142,1673.698328838497,0.0261606009
143,3180.107767949377,6.81722011e-05
144,3180.169241543849,7.18130673e-05
145,3205.741047169725,2.10436104e-06
146,3205.7486739172937,2.28345754e-06
147,3212.6752591300997,1.74042688e-06
148,3212.709706315108,2.19508116e-06
149,3218.5780147248706,1.93591957e-06
150,3218.589720948012,1.63951445e-06
151,3221.8682994830524,8.18289092e-06
152,3221.8829541053956,8.03175127e-06
153,3229.7765006969066,3.75506966e-06
154,3229.8193301640936,3.76304296e-06
155,3234.1345432834787,8.74307556e-06
156,3234.1601061224546,8.58786267e-06
157,3238.127557929655,1.67998537e-06
158,3238.17498873616,1.67581296e-06
