Mode,AtomIndex,dx,dy,dz
3,34,0.02,-0.1501,-0.1902
3,35,0.03,-0.2202,-0.2602
3,36,0.02,-0.1401,-0.1802
3,37,0.03,-0.2002,-0.2302
3,38,0.01,-0.05,-0.1001
3,39,0.01,-0.05,-0.0801
3,40,0.02,-0.0901,-0.1201
3,41,0.01,0.02,-0.01
3,42,0.01,0.0601,0.03
3,43,0.01,0.0801,0.0601
3,44,0.01,0.1201,0.0901
3,45,0.01,0.0601,0.05
3,46,0.02,0.0701,0.0701
3,47,0.01,0.01,0.01
3,48,0.01,-0.01,-0.02
3,49,0.01,-0.04,-0.04
3,50,0.02,-0.02,0.0
3,51,0.02,0.01,0.04
3,52,0.02,-0.0701,-0.05
3,53,0.0,0.0701,-0.0
4,1,0.02,0.0802,0.02
4,2,0.01,0.0802,0.0401
4,3,0.0501,0.1403,-0.0401
4,4,0.0601,0.1904,-0.0601
4,5,0.0601,0.1403,-0.0601
4,6,0.0902,0.1904,-0.1002
4,7,0.0401,0.0802,-0.0301
4,8,0.0501,0.0802,-0.0401
4,9,0.01,0.02,0.0301
4,10,-0.0,-0.01,0.0401
4,11,0.0,-0.0,0.0301
4,12,-0.02,-0.0,0.0301
4,13,-0.01,0.0601,-0.0301
4,14,0.01,0.1303,-0.1102
4,15,0.02,0.1904,-0.1704
4,16,0.01,0.1203,-0.1002
4,17,0.02,0.1704,-0.1603
4,18,-0.01,0.0301,-0.02
4,19,-0.02,-0.0301,0.0501
4,20,-0.0301,-0.1002,0.1102
4,21,-0.0,0.02,0.0501
4,22,-0.01,-0.01,0.0501
4,23,-0.02,-0.0,0.0
4,24,-0.01,0.0601,-0.0301
4,25,0.01,0.1303,-0.1403
4,26,-0.0501,-0.1603,0.1603
4,27,-0.0,-0.02,0.0501
4,28,-0.01,0.01,0.0501
4,29,-0.01,-0.0601,-0.0301
4,30,0.02,-0.0802,0.02
4,31,0.01,-0.0802,0.0401
4,32,0.0501,-0.1403,-0.0401
4,33,0.0601,-0.1904,-0.0601
4,34,0.0601,-0.1403,-0.0601
4,35,0.0902,-0.1904,-0.1002
4,36,0.0401,-0.0802,-0.0301
4,37,0.0501,-0.0802,-0.0401
4,38,0.01,-0.02,0.0301
4,39,-0.0,0.01,0.0401
4,40,0.0,0.0,0.0301
4,41,-0.02,0.0,0.0301
4,42,-0.01,-0.0601,-0.0301
4,43,0.01,-0.1303,-0.1102
4,44,0.02,-0.1904,-0.1704
4,45,0.01,-0.1203,-0.1002
4,46,0.02,-0.1704,-0.1603
4,47,-0.01,-0.0301,-0.02
4,48,-0.02,0.0301,0.0501
4,49,-0.0301,0.1002,0.1102
4,50,-0.02,0.0,0.0
4,51,0.01,-0.1303,-0.1403
4,52,-0.0501,0.1603,0.1603
4,53,-0.0301,0.0,0.0601
5,1,-0.0,-0.0499,0.0997
5,2,-0.01,-0.0698,0.1197
5,3,-0.01,-0.0997,0.1396
5,4,-0.01,-0.1596,0.1994
5,5,0.0,-0.0698,0.0997
5,6,0.0,-0.1097,0.1396
5,7,0.01,0.0,0.0299
5,8,0.0199,0.0199,0.0
5,9,0.01,0.0399,-0.0
5,10,0.0199,0.0798,-0.0499
5,11,0.0299,0.0897,-0.0698
5,12,0.01,0.0499,-0.0299
5,13,-0.0199,-0.0,0.0299
5,14,-0.0399,-0.0798,0.0997
5,15,-0.0598,-0.1396,0.1596
5,16,-0.0399,-0.0798,0.0997
5,17,-0.0598,-0.1496,0.1596
5,18,-0.01,-0.0,0.0199
5,19,0.01,0.0698,-0.0499
5,20,0.0299,0.1197,-0.1097
5,21,0.0,0.01,0.0299
5,22,0.01,0.0698,-0.0399
5,23,-0.01,-0.0,0.01
5,24,-0.01,0.0,0.0299
5,25,-0.0598,-0.1695,0.1695
5,26,0.0399,0.1695,-0.1695
5,27,-0.01,0.01,-0.0299
5,28,-0.01,0.0698,0.0399
5,29,0.01,0.0,-0.0299
5,30,0.0,-0.0499,-0.0997
5,31,0.01,-0.0698,-0.1197
5,32,0.01,-0.0997,-0.1396
5,33,0.01,-0.1596,-0.1994
5,34,-0.0,-0.0698,-0.0997
5,35,-0.0,-0.0997,-0.1396
5,36,-0.0199,0.0,-0.0299
5,37,-0.0199,0.0199,-0.0
5,38,-0.01,0.0399,0.0
5,39,-0.0199,0.0798,0.0499
5,40,-0.0299,0.0897,0.0698
5,41,-0.01,0.0499,0.0299
5,42,0.0199,-0.0,-0.0299
5,43,0.0399,-0.0798,-0.0997
5,44,0.0598,-0.1296,-0.1596
5,45,0.0399,-0.0798,-0.0997
5,46,0.0598,-0.1496,-0.1596
5,47,0.01,-0.0,-0.0199
5,48,-0.01,0.0698,0.0499
5,49,-0.0299,0.1197,0.0997
5,50,0.01,-0.0,-0.01
5,51,0.0598,-0.1695,-0.1695
5,52,-0.0399,0.1695,0.1596
5,53,-0.0,0.0399,-0.0
6,1,-0.0199,-0.0994,0.1392
6,2,-0.0398,-0.179,0.2287
6,3,0.0,-0.0696,0.1193
6,4,-0.0099,-0.1293,0.1889
6,5,0.0298,0.0497,-0.0099
6,6,0.0497,0.0796,-0.0398
6,7,0.0398,0.1293,-0.0895
6,8,0.0696,0.2188,-0.179
6,9,0.0199,0.0796,-0.0398
6,10,0.0298,0.1193,-0.0994
6,11,0.0597,0.2088,-0.1691
6,12,0.0099,0.0696,-0.0497
6,13,-0.0,0.0597,-0.0398
6,14,-0.0099,0.0597,-0.0497
6,15,-0.0099,0.0597,-0.0497
6,16,-0.0099,0.0298,-0.0298
