Mode,AtomIndex,dx,dy,dz
3,35,-0.02,-0.0401,-0.0801
3,36,-0.02,-0.0301,-0.0601
3,37,-0.0401,-0.0801,-0.0801
3,38,-0.01,0.0401,0.01
3,39,-0.01,0.0701,0.0301
3,40,-0.02,0.0801,0.0501
3,41,-0.02,0.1102,0.0701
3,42,-0.0301,0.0501,0.0401
3,43,-0.0401,0.0501,0.0601
3,44,-0.0301,0.01,0.02
3,45,-0.02,0.01,0.0
3,46,-0.02,-0.02,-0.01
3,47,0.0,0.0401,-0.0301
3,48,-0.0,0.0401,-0.01
3,49,-0.0401,-0.0301,0.0
3,50,-0.01,0.0801,0.02
3,51,-0.0501,-0.02,0.02
3,52,-0.0501,-0.0801,-0.0301
3,53,-0.0,0.0701,-0.0
4,1,0.0298,-0.0992,0.0496
4,2,0.0397,-0.129,0.0695
4,3,0.0595,-0.1389,0.0893
4,4,0.0893,-0.2084,0.1389
4,5,0.0397,-0.0992,0.0496
4,6,0.0595,-0.129,0.0794
4,7,0.0,-0.0198,-0.0099
4,8,-0.0099,0.0198,-0.0298
4,9,-0.0198,0.0198,-0.0298
4,10,-0.0397,0.0595,-0.0595
4,11,-0.0496,0.0893,-0.0893
4,12,-0.0198,0.0198,-0.0397
4,13,0.0,-0.0298,0.0099
4,14,0.0298,-0.0893,0.0695
4,15,0.0496,-0.1389,0.1091
4,16,0.0298,-0.0893,0.0695
4,17,0.0595,-0.1488,0.1191
4,18,-0.0099,-0.0099,-0.0
4,19,-0.0298,0.0397,-0.0496
4,20,-0.0595,0.0893,-0.0992
4,21,-0.0,-0.0198,-0.0099
4,22,-0.0198,0.0298,-0.0397
4,23,-0.0099,-0.0099,-0.0099
4,24,-0.0,-0.0298,0.0099
4,25,0.0794,-0.1984,0.1588
4,26,-0.0992,0.1885,-0.1984
4,27,0.0397,0.0992,0.0496
4,28,0.0595,0.129,0.0794
4,29,0.0298,0.0992,0.0496
4,30,0.0397,0.129,0.0695
4,31,0.0595,0.1389,0.0893
4,32,0.0893,0.2084,0.1389
4,33,0.0,0.0198,-0.0099
4,34,-0.0099,-0.0198,-0.0298
4,35,-0.0198,-0.0198,-0.0298
4,36,-0.0397,-0.0595,-0.0595
4,37,-0.0496,-0.0893,-0.0893
4,38,-0.0198,-0.0198,-0.0397
4,39,0.0,0.0298,0.0099
4,40,0.0298,0.0893,0.0695
4,41,0.0496,0.1389,0.1091
4,42,0.0298,0.0893,0.0695
4,43,0.0595,0.1488,0.1191
4,44,-0.0099,0.0099,-0.0
4,45,-0.0298,-0.0397,-0.0496
4,46,-0.0595,-0.0893,-0.0992
4,47,-0.0,0.0198,-0.0099
4,48,-0.0198,-0.0298,-0.0397
4,49,-0.0099,0.0099,-0.0099
4,50,-0.0,0.0298,0.0099
4,51,0.0794,0.1984,0.1588
4,52,-0.0992,-0.1885,-0.1984
4,53,-0.0099,-0.0,-0.0198
5,1,0.04,-0.07,0.08
5,2,0.05,-0.09,0.1
5,3,0.05,-0.1,0.11
5,4,0.07,-0.17,0.16
5,5,0.03,-0.06,0.07
5,6,0.04,-0.09,0.09
5,7,-0.0,0.01,0.01
5,8,-0.02,0.04,-0.02
5,9,-0.01,0.04,-0.01
5,10,-0.03,0.07,-0.04
5,11,-0.04,0.1,-0.07
5,12,-0.01,0.04,-0.02
5,13,0.02,-0.01,0.03
5,14,0.05,-0.08,0.09
5,15,0.07,-0.13,0.14
5,16,0.05,-0.08,0.09
5,17,0.07,-0.13,0.14
5,18,0.01,0.01,0.01
5,19,-0.02,0.06,-0.04
5,20,-0.04,0.12,-0.09
5,21,0.01,0.0,0.02
5,22,-0.01,0.05,-0.02
5,23,0.0,0.02,0.0
5,24,0.01,-0.0,0.02
5,25,0.09,-0.18,0.19
5,26,-0.09,0.23,-0.19
5,27,-0.03,-0.06,-0.07
5,28,-0.04,-0.09,-0.09
5,29,-0.04,-0.07,-0.08
5,30,-0.05,-0.09,-0.1
5,31,-0.05,-0.1,-0.11
5,32,-0.07,-0.16,-0.16
5,33,0.0,0.01,-0.01
5,34,0.02,0.04,0.02
5,35,0.01,0.04,0.01
5,36,0.03,0.07,0.04
5,37,0.04,0.1,0.07
5,38,0.01,0.04,0.02
5,39,-0.02,-0.01,-0.03
5,40,-0.05,-0.08,-0.09
5,41,-0.07,-0.13,-0.14
5,42,-0.05,-0.08,-0.09
5,43,-0.07,-0.13,-0.14
5,44,-0.01,0.01,-0.02
5,45,0.02,0.06,0.04
5,46,0.04,0.12,0.09
5,47,-0.01,0.0,-0.02
5,48,0.01,0.05,0.02
5,49,-0.0,0.02,-0.0
5,50,-0.01,-0.0,-0.02
5,51,-0.09,-0.18,-0.19
5,52,0.09,0.23,0.19
5,53,-0.0,0.02,-0.0
6,1,-0.0498,0.0997,-0.1296
6,2,-0.0897,0.1994,-0.2093
6,3,-0.0199,0.0598,-0.0997
6,4,-0.0498,0.1296,-0.1595
6,5,0.0498,-0.0698,0.0199
6,6,0.0698,-0.1097,0.0498
6,7,0.0797,-0.1495,0.0897
6,8,0.1296,-0.2392,0.1695
6,9,0.0498,-0.0897,0.0399
6,10,0.0598,-0.1296,0.0797
6,11,0.0997,-0.2093,0.1495
6,12,0.0,-0.0399,0.0199
6,13,-0.01,-0.0399,0.01
6,14,-0.01,-0.0498,0.0299
6,15,-0.01,-0.0598,0.0399
6,16,-0.01,-0.0399,0.0399
6,17,-0.01,-0.0399,0.0399
6,18,-0.01,-0.0199,0.0199
6,19,-0.0,-0.0199,0.01
6,20,-0.0,0.01,-0.0
6,21,-0.01,0.0199,-0.0498
6,22,0.01,-0.0399,0.01
6,23,-0.0199,0.0199,0.0
6,24,-0.01,-0.0299,-0.01
6,25,-0.0199,0.0,0.0299
6,26,-0.0399,0.0797,-0.0399
6,27,0.0498,0.0698,0.0199
6,28,0.0698,0.1097,0.0498
6,29,-0.0498,-0.0997,-0.1296
6,30,-0.0897,-0.1994,-0.2093
6,31,-0.0199,-0.0598,-0.0997
6,32,-0.0498,-0.1296,-0.1595
6,33,0.0797,0.1495,0.0897
6,34,0.1296,0.2392,0.1695
6,35,0.0498,0.0897,0.0399
6,36,0.0598,0.1296,0.0797
6,37,0.0997,0.2093,0.1495
6,38,0.0,0.0399,0.0199
6,39,-0.01,0.0399,0.01
6,40,-0.01,0.0498,0.0299
6,41,-0.01,0.0598,0.0399
6,42,-0.01,0.0399,0.0399
6,43,-0.01,0.0399,0.0399
6,44,-0.01,0.0199,0.0199
6,45,-0.0,0.0199,0.01
6,46,-0.0,-0.01,-0.0
6,47,-0.01,-0.0199,-0.0498
6,48,0.01,0.0399,0.01
6,49,-0.0199,-0.0199,0.0
6,50,-0.01,0.0299,-0.01
6,51,-0.0199,-0.0,0.0299
6,52,-0.0399,-0.0797,-0.0399
6,53,-0.01,-0.0,-0.0399
7,1,-0.0497,0.1391,-0.1093
7,2,-0.0894,0.2186,-0.1689
7,3,-0.0497,0.149,-0.1192
7,4,-0.0894,0.2384,-0.1987
7,5,0.0,0.0298,-0.0199
7,6,0.0099,0.0199,-0.0099
7,7,0.0497,-0.0795,0.0795
7,8,0.0894,-0.1689,0.149
7,9,0.0397,-0.0695,0.0695
7,10,0.0596,-0.1192,0.0994
7,11,0.0994,-0.1987,0.1689
7,12,0.0199,-0.0298,0.0298
7,13,0.0199,-0.0099,0.0199
7,14,0.0298,-0.0199,0.0199
7,15,0.0298,-0.0099,0.0199
7,16,0.0298,-0.0199,0.0099
7,17,0.0298,-0.0199,0.0099
7,18,0.0199,-0.0199,0.0
7,19,0.0199,-0.0298,0.0199
7,20,0.0099,-0.0199,0.0
7,21,-0.0,0.0298,-0.0099
7,22,0.0199,-0.0397,0.0397
7,23,0.0,0.0099,-0.0397
7,24,0.0099,0.0099,0.0
7,25,0.0397,-0.0497,0.0099
7,26,-0.0397,0.0894,-0.1192
7,27,-0.0,0.0298,0.0199
7,28,-0.0099,0.0199,0.0099
7,29,0.0497,0.1391,0.1093
7,30,0.0894,0.2186,0.1689
7,31,0.0497,0.149,0.1192
7,32,0.0894,0.2384,0.1987
7,33,-0.0497,-0.0795,-0.0795
7,34,-0.0894,-0.1689,-0.149
7,35,-0.0397,-0.0695,-0.0695
7,36,-0.0596,-0.1192,-0.0994
7,37,-0.0994,-0.1987,-0.1689
7,38,-0.0199,-0.0298,-0.0298
7,39,-0.0199,-0.0099,-0.0199
7,40,-0.0298,-0.0199,-0.0199
7,41,-0.0298,-0.0099,-0.0199
7,42,-0.0298,-0.0199,-0.0099
7,43,-0.0298,-0.0199,-0.0099
7,44,-0.0199,-0.0199,-0.0
7,45,-0.0199,-0.0298,-0.0199
7,46,-0.0099,-0.0199,-0.0
7,47,0.0,0.0298,0.0099
7,48,-0.0199,-0.0397,-0.0397
7,49,-0.0,0.0099,0.0397
7,50,-0.0099,0.0099,-0.0
7,51,-0.0397,-0.0497,-0.0099
7,52,0.0397,0.0894,0.1192
7,53,0.0,0.0099,0.0
8,1,0.0199,-0.0597,-0.01
8,2,0.0199,-0.0796,-0.0199
8,3,0.0597,-0.1294,0.0398
8,4,0.0896,-0.1991,0.0796
8,5,0.0597,-0.1095,0.0299
8,6,0.0996,-0.1593,0.0697
8,7,0.0199,-0.0299,-0.0199
8,8,0.0299,-0.0199,-0.0199
8,9,-0.01,0.0199,-0.0597
8,10,-0.0299,0.0398,-0.0597
8,11,-0.0299,0.0498,-0.0597
8,12,-0.01,-0.0299,0.0
8,13,0.01,-0.0896,0.0498
8,14,0.0498,-0.1692,0.1294
8,15,0.0697,-0.229,0.1792
8,16,0.0299,-0.1394,0.1095
8,17,0.0498,-0.1692,0.1394
8,18,0.0,-0.0597,0.0398
8,19,-0.0199,-0.01,-0.01
8,20,-0.0398,0.0398,-0.0498
8,21,-0.0199,0.01,-0.0597
8,22,-0.0199,0.01,-0.0398
8,23,-0.0299,0.0,-0.01
8,24,0.01,-0.0796,0.0398
8,25,-0.0996,0.1593,-0.1593
8,26,0.0199,-0.0996,0.0796
8,27,0.0597,0.1095,0.0299
8,28,0.0996,0.1593,0.0697
8,29,0.0199,0.0597,-0.01
8,30,0.0199,0.0697,-0.0199
8,31,0.0597,0.1294,0.0398
8,32,0.0896,0.1991,0.0796
8,33,0.0199,0.0299,-0.0199
8,34,0.0299,0.0199,-0.0199
8,35,-0.01,-0.0199,-0.0597
8,36,-0.0299,-0.0398,-0.0597
8,37,-0.0299,-0.0498,-0.0597
8,38,-0.01,0.0299,0.0
8,39,0.01,0.0896,0.0498
8,40,0.0498,0.1692,0.1294
8,41,0.0697,0.229,0.1792
8,42,0.0299,0.1394,0.1095
8,43,0.0498,0.1692,0.1394
8,44,0.0,0.0597,0.0398
8,45,-0.0199,0.01,-0.01
8,46,-0.0398,-0.0398,-0.0498
8,47,-0.0199,-0.01,-0.0597
8,48,-0.0199,-0.01,-0.0398
8,49,-0.0299,-0.0,-0.01
8,50,0.01,0.0796,0.0398
8,51,-0.0996,-0.1593,-0.1593
8,52,0.0199,0.0996,0.0796
8,53,-0.0199,0.0,-0.0398
9,1,0.02,0.02,0.02
9,2,0.01,0.02,0.02
9,3,0.03,-0.01,0.04
