index,valor,array,modos
6,16.800835718374188,0.0695477853,16.800835718374188
7,24.615749632010345,0.172795006,24.615749632010345
8,38.34745208628197,0.116667571,38.34745208628197
9,49.86903074279885,0.0277228109,49.86903074279885
10,50.77491945457829,0.0171369318,50.77491945457829
11,59.31670581754265,0.0578692901,59.31670581754265
12,63.26943066598585,0.0303549371,63.26943066598585
13,72.61290951461808,0.0664626851,72.61290951461808
14,78.67007444010106,0.043613089,78.67007444010106
15,86.35900437662671,0.038735826,86.35900437662671
16,103.8879591186839,0.113066625,103.8879591186839
17,126.64273600221837,0.317540272,126.64273600221837
18,143.4428170646588,0.0731032092,143.4428170646588
19,145.57443980883517,0.0939833084,145.57443980883517
20,155.20960697171802,0.173068544,155.20960697171802
21,185.69186383350532,0.198165192,185.69186383350532
22,191.16689266729338,0.25904974,191.16689266729338
23,207.95194730999322,0.289050437,207.95194730999322
24,217.82264971456416,0.436885025,217.82264971456416
25,254.80942063188283,0.221677138,254.80942063188283
26,265.9297902659582,0.0762611115,265.9297902659582
27,271.6714713520932,0.149744081,271.6714713520932
28,286.36521120804946,0.258772801,286.36521120804946
29,291.62186676277383,0.272495609,291.62186676277383
30,313.77989321336685,0.359217619,313.77989321336685
31,328.8718475053078,0.497351531,328.8718475053078
32,334.9294767248755,0.335676289,334.9294767248755
33,342.0194047623194,0.258432158,342.0194047623194
34,355.0045838782304,0.311329542,355.0045838782304
35,364.6358658484192,0.30359738,364.6358658484192
36,390.4719847675753,0.354482106,390.4719847675753
37,401.74715895704514,0.280702724,401.74715895704514
38,434.9307112305378,0.20589254,434.9307112305378
39,437.70277107977796,0.152198739,437.70277107977796
40,442.7025410098947,0.615413736,442.7025410098947
41,462.41769414538965,0.32931784,462.41769414538965
42,476.5507595039773,0.392717794,476.5507595039773
43,513.7003078033795,0.324721671,513.7003078033795
44,516.0351492087447,0.297482019,516.0351492087447
45,533.4120543176199,0.330296058,533.4120543176199
46,533.9282703123343,0.317514394,533.9282703123343
47,537.8784278590321,0.0704286122,537.8784278590321
48,539.9908273308482,0.159707247,539.9908273308482
49,545.438099486175,0.217661139,545.438099486175
50,546.3122117414131,0.300407941,546.3122117414131
51,582.2034360241595,0.328307065,582.2034360241595
52,585.9898260043676,0.340163398,585.9898260043676
53,590.5055256631662,0.333511439,590.5055256631662
54,591.6098668516267,0.357008013,591.6098668516267
55,651.1838820247307,0.337199685,651.1838820247307
56,653.6212913222607,0.15701537,653.6212913222607
57,654.9933336710457,0.142484037,654.9933336710457
58,656.3918198451712,0.296627644,656.3918198451712
59,672.9724777635055,0.299615746,672.9724777635055
60,673.477753068024,0.265147922,673.477753068024
61,699.8670890782889,0.14153785,699.8670890782889
62,700.4899070405207,0.147911132,700.4899070405207
63,757.9001600357406,0.0279063824,757.9001600357406
64,758.4026502902481,0.029687037,758.4026502902481
65,769.2029582370591,0.129550511,769.2029582370591
66,772.9433421412255,0.112997796,772.9433421412255
67,785.6243292831211,0.0777298091,785.6243292831211
68,786.4661137277262,0.0795386813,786.4661137277262
69,793.4146257765452,0.050658215,793.4146257765452
70,795.3141491684977,0.0942886177,795.3141491684977
71,846.1843803143034,0.238446688,846.1843803143034
72,848.451062850725,0.242127024,848.451062850725
73,856.8343000304803,0.0978855574,856.8343000304803
74,857.034568251788,0.105212494,857.034568251788
75,860.9093471688182,0.0170607089,860.9093471688182
76,861.5634643517516,0.0188182621,861.5634643517516
77,884.3743985692101,0.0570628045,884.3743985692101
78,884.7193110080985,0.0548771108,884.7193110080985
79,913.1491583433619,0.043848943,913.1491583433619
80,913.234580579939,0.0680292367,913.234580579939
81,915.7816508053435,0.114964674,915.7816508053435
82,917.0011289100731,0.134271606,917.0011289100731
83,930.898688574842,0.00992365305,930.898688574842
84,930.968931473015,0.0104945744,930.968931473015
85,985.274929761296,0.0103244888,985.274929761296
86,985.9326128936121,0.00956807868,985.9326128936121
87,988.623209657132,0.149198753,988.623209657132
88,991.2997277079064,0.153176145,991.2997277079064
89,997.8700658736022,0.000267148009,997.8700658736022
90,997.8857198615382,0.000420057718,997.8857198615382
91,1006.9284052430058,0.000682709378,1006.9284052430058
92,1006.9660795571825,0.000696376767,1006.9660795571825
93,1043.5980434759592,0.406210527,1043.5980434759592
94,1046.7760663763936,0.404808479,1046.7760663763936
95,1082.3508697110024,0.0446162017,1082.3508697110024
96,1083.0893081888153,0.0528906255,1083.0893081888153
97,1109.3991323746664,0.0562760761,1109.3991323746664
98,1111.2472049605492,0.0631903873,1111.2472049605492
99,1138.7318715006836,0.0590087581,1138.7318715006836
100,1139.3550677723717,0.0578946481,1139.3550677723717
101,1149.9397520151074,0.0191549011,1149.9397520151074
102,1150.1264365432169,0.0188449407,1150.1264365432169
103,1177.036330353407,0.00790770691,1177.036330353407
104,1177.322494958494,0.00767903729,1177.322494958494
105,1207.1342468194173,0.0598304517,1207.1342468194173
106,1208.6665825581345,0.0629270198,1208.6665825581345
107,1249.9408489192986,0.0394498327,1249.9408489192986
108,1250.8238885582005,0.0346264046,1250.8238885582005
109,1271.9653747534167,0.0633795718,1271.9653747534167
110,1274.0679034020227,0.0763061258,1274.0679034020227
111,1328.9720203902161,0.0730533018,1328.9720203902161
112,1329.0682401213191,0.209129868,1329.0682401213191
113,1331.2171007462407,0.107608366,1331.2171007462407
114,1333.0700919764815,0.235701653,1333.0700919764815
115,1369.7406767194618,0.0956018385,1369.7406767194618
